2021/10/22,4825,0,1015000, 1015000
2021/10/23,4825,0,1015000, 1015000
2021/10/24,4825,0,1015000, 1015000
2021/10/25,4790,0,1015000, 1015000
2021/10/26,4785,0,1015000, 1015000
2021/10/27,4780,0,1015000, 1015000
2021/10/28,4870,487000,528000, 1015000
2021/10/29,4910,487000,528000, 1015000
2021/10/30,4910,487000,528000, 1015000
2021/11/1,5025,487000,528000, 1015000
2021/11/2,5020,0,1030000, 1030000
2021/11/3,5020,0,1030000, 1030000
2021/11/4,5226,522600,507400, 1030000
2021/11/5,5122,0,1019600, 1019600
2021/11/6,5122,0,1019600, 1019600
2021/11/7,5122,0,1019600, 1019600
2021/11/8,4975,0,1019600, 1019600
2021/11/9,4845,0,1019600, 1019600
2021/11/10,4903,490300,529300, 1019600
2021/11/11,4937,490300,529300, 1019600
2021/11/12,4872,0,1016500, 1016500
2021/11/13,4872,0,1016500, 1016500
2021/11/14,4872,0,1016500, 1016500
2021/11/15,4900,490000,526500, 1016500
2021/11/16,4913,490000,526500, 1016500
2021/11/17,4728,0,999300, 999300
2021/11/18,4700,0,999300, 999300
2021/11/19,4685,0,999300, 999300
2021/11/20,4685,0,999300, 999300
2021/11/21,4685,0,999300, 999300
2021/11/22,4747,474700,524600, 999300
2021/11/23,4747,474700,524600, 999300
2021/11/24,4673,0,991900, 991900
2021/11/25,4613,0,991900, 991900
2021/11/26,4581,0,991900, 991900
2021/11/27,4581,0,991900, 991900
2021/11/28,4581,0,991900, 991900
2021/11/29,4587,458700,533200, 991900
2021/11/30,4527,0,985900, 985900
2021/12/1,4560,456000,529900, 985900
2021/12/2,4626,456000,529900, 985900
2021/12/3,4743,456000,529900, 985900
2021/12/4,4743,456000,529900, 985900
2021/12/5,4743,456000,529900, 985900
2021/12/6,4690,0,998900, 998900
2021/12/7,4744,474400,524500, 998900
2021/12/8,4719,0,996400, 996400
2021/12/9,4662,0,996400, 996400
2021/12/10,4682,468200,528200, 996400
2021/12/11,4682,468200,528200, 996400
2021/12/12,4682,468200,528200, 996400
2021/12/13,4595,0,987700, 987700
2021/12/14,4603,460300,527400, 987700
2021/12/15,4645,460300,527400, 987700
2021/12/16,4741,460300,527400, 987700
2021/12/17,4652,0,992600, 992600
2021/12/18,4652,0,992600, 992600
2021/12/19,4652,0,992600, 992600
2021/12/20,4545,0,992600, 992600
2021/12/21,4587,458700,533900, 992600
2021/12/22,4631,458700,533900, 992600
2021/12/23,4644,458700,533900, 992600
2021/12/24,4617,0,995600, 995600
2021/12/25,4617,0,995600, 995600
2021/12/26,4617,0,995600, 995600
2021/12/27,4564,0,995600, 995600
2021/12/28,4691,469100,526500, 995600
2021/12/29,4730,469100,526500, 995600
2021/12/30,4730,469100,526500, 995600
2022/1/1,4730,469100,526500, 995600
2022/1/2,4730,469100,526500, 995600
2022/1/3,4730,469100,526500, 995600
